gen	Q1	Q2	Q3	Q4
Kamburu	0.67	0.64	0.64	0.66
Kiambere	0.3	0.33	0.31	0.33
Kindaruma	0.48	0.26	0.51	0.44
Masinga	0.39	0.77	0.85	0.79
Sangoro	0.41	0.79	0.86	0.79
Sondu	0.42	0.69	0.51	0.65
Tana	0.64	0.49	0.56	0.59
Turkwel	0.97	0.97	0.97	0.97
Kipeto_Wind_-_I	0.97	0.97	0.97	0.97
Lake_Turkana_Wind_Power	0.97	0.97	0.97	0.97
Ngong_Hills_Wind	0.9	0.9	0.9	0.9
CC_CM_GAS_ALC_20_LIB	0.9	0.9	0.9	0.9
GT_CM_GAS_ALC_22_LIB	0.9	0.9	0.9	0.9
PV_CM_SPV_ALC_19_LIB	0.9	0.9	0.9	0.9
ST_CM_GAS_ALC_25_LIB	0.9	0.9	0.9	0.9
WI_CM_WND_ALC_18_LIB	0.9	0.9	0.9	0.9
CC_EX_GAS_ALC_07_LIB	0.9	0.9	0.9	0.9
CC_EX_GAS_ALC_10_LIB	0.9	0.9	0.9	0.9
CC_EX_GAS_ALC_11_LIB	0.9	0.9	0.9	0.9
CC_EX_GAS_ALC_15_LIB	0.9	0.9	0.9	0.9
CC_EX_GAS_ALC_95_LIB	0.9	0.9	0.9	0.9
GT_EX_GAS_ALC_10_LIB	0.9	0.9	0.9	0.9
GT_EX_GAS_ALC_15_LIB	0.9	0.9	0.9	0.9
GT_EX_GAS_ALC_16_LIB	0.9	0.9	0.9	0.9
GT_EX_GAS_ALC_17_LIB	0.9	0.9	0.9	0.9
GT_EX_GAS_ALC_82_LIB	0.9	0.9	0.9	0.9
GT_EX_GAS_ALC_94_LIB	0.9	0.9	0.9	0.9
ST_EX_GAS_ALC_85_LIB	0.9	0.9	0.9	0.9
