gen,season,daytype,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Riaba,Q2,d4,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857
Riaba,Q2,d5,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857
Chutes de l'Imperatrice,Q2,d1,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572
Chutes de l'Imperatrice,Q2,d2,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572
Chutes de l'Imperatrice,Q2,d3,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572
Chutes de l'Imperatrice,Q2,d4,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572
Chutes de l'Imperatrice,Q2,d5,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572,0.7771428571428572
Dibwangui,Q2,d1,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714
Dibwangui,Q2,d2,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714
Dibwangui,Q2,d3,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714
Dibwangui,Q2,d4,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714
Dibwangui,Q2,d5,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714,0.6114285714285714
FE-2 (Kinguele Aval),Q2,d1,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143
FE-2 (Kinguele Aval),Q2,d2,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143
FE-2 (Kinguele Aval),Q2,d3,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143
FE-2 (Kinguele Aval),Q2,d4,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143
FE-2 (Kinguele Aval),Q2,d5,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143,0.5542857142857143
