g,z,tech,f,Status,StYr,RetrYr,Capacity,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize
Generic_Gas_OCGT_Trakia,Trakia,OCGT,Gas,3,2029,2060,100000,5000,30,8.75,0.08,0.08,0.1,0.425,15000,2.5,6,
WestAna_Agg_Geo,WestAna,ST,Geothermal,1,2017,2056,1326.843,1326.843,30,,,,0.03,,40000,0.5,6,
WestMed_Agg_Geo,WestMed,ST,Geothermal,1,2019,2056,406.662,406.662,30,,,,0.03,,40000,0.5,6,
Geo_WestAna,WestAna,ST,Geothermal,2,2027,2057,156,156,30,,,,0.03,2.3,40000,0.5,6,
Geo_NorthWest,NorthWest,ST,Geothermal,2,2027,2057,13,13,30,,,,0.03,2.3,40000,0.5,6,
Geo_Candidate_WestMed,WestMed,ST,Geothermal,3,2030,2060,45,45,30,,,,0.03,2.3,40000,0.5,6,
Geo_Candidate_WestAna,WestAna,ST,Geothermal,3,2030,2060,200,200,30,,,,0.03,2.3,40000,0.5,6,
Geo_Candidate_CenterAna,CenterAna,ST,Geothermal,3,2030,2060,20,20,30,,,,0.03,2.3,40000,0.5,6,
WestAna_AGG_Liquids,WestAna,ICE,HFO,1,2000,2060,116.3848317,116.3848317,50,9.477774619,0.05,0.05,0.1,,13000,4,10,
EastMed_AGG_Liquids,EastMed,ICE,HFO,1,2002,2060,4.736,4.736,50,9.477774619,0.05,0.05,0.1,,13000,4,10,
